Date	Fajr	Sunrise	Dhuha	Zhuhur	'Asr	Maghrib	'Isha
1	05:25	06:27	06:59	12:31	15:51	18:27	19:32
2	05:26	06:27	07:00	12:30	15:50	18:26	19:31
3	05:27	06:28	07:01	12:30	15:49	18:24	19:29
4	05:27	06:29	07:01	12:30	15:48	18:23	19:28
5	05:28	06:29	07:02	12:29	15:47	18:21	19:27
6	05:29	06:30	07:03	12:29	15:46	18:20	19:25
7	05:30	06:31	07:04	12:29	15:45	18:19	19:24
8	05:30	06:32	07:05	12:29	15:45	18:18	19:23
9	05:31	06:32	07:05	12:28	15:44	18:16	19:22
10	05:32	06:33	07:06	12:28	15:43	18:15	19:20
11	05:33	06:34	07:07	12:28	15:42	18:14	19:19
12	05:33	06:35	07:08	12:28	15:41	18:12	19:18
13	05:34	06:35	07:09	12:27	15:40	18:11	19:17
14	05:35	06:36	07:09	12:27	15:39	18:10	19:15
15	05:35	06:37	07:10	12:27	15:38	18:09	19:14
16	05:36	06:38	07:11	12:27	15:37	18:07	19:13
17	05:37	06:39	07:12	12:26	15:36	18:06	19:12
18	05:38	06:39	07:13	12:26	15:35	18:05	19:11
19	05:38	06:40	07:14	12:26	15:35	18:04	19:10
20	05:39	06:41	07:14	12:26	15:34	18:03	19:08
21	05:40	06:42	07:15	12:26	15:33	18:02	19:07
22	05:41	06:43	07:16	12:26	15:32	18:00	19:06
23	05:41	06:43	07:17	12:25	15:31	17:59	19:05
24	05:42	06:44	07:18	12:25	15:30	17:58	19:04
25	05:43	06:45	07:19	12:25	15:29	17:57	19:03
26	05:44	06:46	07:20	12:25	15:29	17:56	19:02
27	05:45	06:47	07:21	12:25	15:28	17:55	19:01
28	05:45	06:48	07:22	12:25	15:27	17:54	19:00
29	05:46	06:49	07:23	12:25	15:26	17:53	18:59
30	05:47	06:49	07:23	12:25	15:26	17:52	18:59
31	05:48	06:50	07:24	12:25	15:25	17:51	18:58
